"timestamp_iso","prueba_id","tipo_pista","contador","estado","posicion_qtr","error_qtr","correccion_pid","vel_izq_pwm","vel_der_pwm","vel_base_pwm","linea_perdida","s0_cal","s1_cal","s2_cal","s3_cal","c0_raw","c1_raw","c2_raw","c3_raw","ip_robot","rssi_dbm","uptime_ms","observaciones"
"2026-06-03T19:33:51.517Z","prueba_001","pista_linea_negra","252","centrado","1269","-231","-85","5","175","90","0","277","700","740","0","1159","2690","3015","2","192.168.137.29","-46","128349",""
"2026-06-03T19:33:52.017Z","prueba_001","pista_linea_negra","253","desviado_der","1909","409","-261","-171","200","90","0","0","659","843","479","39","2528","3435","2083","192.168.137.29","-42","128849",""
"2026-06-03T19:33:52.519Z","prueba_001","pista_linea_negra","254","centrado","1441","-59","22","112","68","90","0","89","695","778","1","392","2669","3159","0","192.168.137.29","-46","129351",""
"2026-06-03T19:33:53.020Z","prueba_001","pista_linea_negra","255","centrado","1349","-151","-147","-57","200","90","0","893","505","820","514","3619","1782","3290","2034","192.168.137.29","-54","129852",""
"2026-06-03T19:33:53.571Z","prueba_001","pista_linea_negra","256","centrado","1543","43","244","200","-154","90","0","8","738","879","12","82","2833","3558","48","192.168.137.29","-62","130352",""
"2026-06-03T19:33:54.089Z","prueba_001","pista_linea_negra","257","desviado_izq","1090","-410","-15","75","105","90","0","583","775","776","1","2490","2973","3162","7","192.168.137.29","-56","130852",""
"2026-06-03T19:33:54.567Z","prueba_001","pista_linea_negra","258","centrado","1540","40","8","98","82","90","0","2","713","837","10","55","2736","3391","23","192.168.137.29","-54","131352",""
"2026-06-03T19:33:55.022Z","prueba_001","pista_linea_negra","259","centrado","1543","43","2","92","88","90","0","0","699","831","1","35","2685","3369","16","192.168.137.29","-53","131853",""
"2026-06-03T19:33:55.537Z","prueba_001","pista_linea_negra","260","desviado_der","1965","465","738","200","-200","90","0","1","519","782","459","141","2059","3184","1799","192.168.137.29","-59","132353",""
"2026-06-03T19:33:56.074Z","prueba_001","pista_linea_negra","261","centrado","1553","53","29","119","61","90","0","33","655","812","15","86","2531","3299","48","192.168.137.29","-53","132853",""
"2026-06-03T19:33:56.522Z","prueba_001","pista_linea_negra","262","centrado","1423","-77","558","200","-200","90","0","108","724","798","5","409","2775","3242","10","192.168.137.29","-64","133353",""
"2026-06-03T19:33:57.024Z","prueba_001","pista_linea_negra","263","centrado","1528","28","-1","89","91","90","0","3","721","809","14","62","2771","3291","63","192.168.137.29","-61","133854",""
"2026-06-03T19:33:57.560Z","prueba_001","pista_linea_negra","264","centrado","1529","29","756","200","-200","90","0","5","765","860","8","64","2928","3482","31","192.168.137.29","-53","134354",""
"2026-06-03T19:33:58.027Z","prueba_001","pista_linea_negra","265","centrado","1549","49","16","106","74","90","0","0","660","804","8","34","2529","3248","31","192.168.137.29","-63","134856",""
"2026-06-03T19:33:58.528Z","prueba_001","pista_linea_negra","266","desviado_der","2422","922","66","156","24","90","0","0","27","778","570","35","182","3171","2382","192.168.137.29","-52","135357",""
"2026-06-03T19:33:59.029Z","prueba_001","pista_linea_negra","267","desviado_der","2403","903","352","200","-200","90","0","1","14","728","493","37","143","2971","2005","192.168.137.29","-63","135857",""
"2026-06-03T19:33:59.531Z","prueba_001","pista_linea_negra","268","desviado_izq","0","-1500","-1708","-200","200","90","0","314","16","15","12","1395","147","149","51","192.168.137.29","-54","136357",""
"2026-06-03T19:34:00.032Z","prueba_001","pista_linea_negra","269","centrado","1621","121","276","200","-186","90","0","665","19","660","601","3360","157","2753","2461","192.168.137.29","-55","136858",""
"2026-06-03T19:34:00.532Z","prueba_001","pista_linea_negra","270","centrado","1825","325","-143","-53","200","90","0","82","699","861","491","287","2689","3477","2064","192.168.137.29","-53","137358",""
"2026-06-03T19:34:01.039Z","prueba_001","pista_linea_negra","271","centrado","1891","391","137","200","-47","90","0","21","728","870","500","122","2816","3525","2081","192.168.137.29","-62","137859",""
"2026-06-03T19:34:01.534Z","prueba_001","pista_linea_negra","272","desviado_der","1901","401","-79","11","169","90","0","13","666","819","474","176","2559","3269","1990","192.168.137.29","-50","138359",""
"2026-06-03T19:34:02.036Z","prueba_001","pista_linea_negra","273","centrado","1782","282","-431","-200","200","90","0","9","445","826","139","86","1685","3338","673","192.168.137.29","-51","138861",""
"2026-06-03T19:34:02.538Z","prueba_001","pista_linea_negra","274","centrado","1447","-53","-169","-79","200","90","0","100","748","867","8","379","2855","3568","0","192.168.137.29","-49","139362",""
"2026-06-03T19:34:03.041Z","prueba_001","pista_linea_negra","275","desviado_izq","549","-951","-119","-29","200","90","0","605","739","14","1","2656","2847","135","5","192.168.137.29","-50","139863",""
"2026-06-03T19:34:03.543Z","prueba_001","pista_linea_negra","276","centrado","1406","-94","-51","39","141","90","0","72","709","657","1","583","2736","2708","17","192.168.137.29","-64","140363",""
"2026-06-03T19:34:04.043Z","prueba_001","pista_linea_negra","277","desviado_der","1954","454","841","200","-200","90","0","7","596","886","506","80","2289","3583","2113","192.168.137.29","-60","140864",""
"2026-06-03T19:34:04.544Z","prueba_001","pista_linea_negra","278","desviado_der","2450","950","-107","-17","197","90","0","0","11","704","577","43","122","2832","2370","192.168.137.29","-58","141364",""
"2026-06-03T19:34:05.045Z","prueba_001","pista_linea_negra","279","desviado_der","2170","670","-181","-91","200","90","0","0","348","810","657","46","1314","3278","2672","192.168.137.29","-53","141866",""
"2026-06-03T19:34:06.348Z","prueba_001","pista_linea_negra","280","desviado_der","2419","919","83","173","7","90","0","0","8","696","502","36","116","2846","2130","192.168.137.29","-60","142367",""
"2026-06-03T19:34:06.352Z","prueba_001","pista_linea_negra","281","centrado","1464","-36","122","200","-32","90","0","579","38","8","552","2423","288","126","2199","192.168.137.29","-73","142867",""
"2026-06-03T19:34:06.546Z","prueba_001","pista_linea_negra","282","centrado","1582","82","-21","69","111","90","0","38","209","291","35","180","848","1231","144","192.168.137.29","-54","143367",""
"2026-06-03T19:34:07.131Z","prueba_001","pista_linea_negra","283","recuperacion","0","-1500","0","-120","120","0","1","70","15","9","4","574","135","119","14","192.168.137.29","-63","143868",""
"2026-06-03T19:34:07.710Z","prueba_001","pista_linea_negra","284","desviado_izq","581","-919","-545","-200","200","90","0","340","472","22","4","3686","2043","173","16","192.168.137.29","-64","144369",""
"2026-06-03T19:34:08.053Z","prueba_001","pista_linea_negra","285","recuperacion","0","-1500","0","-120","120","0","1","11","34","58","12","107","201","293","48","192.168.137.29","-57","144871",""
"2026-06-03T19:34:08.878Z","prueba_001","pista_linea_negra","286","recuperacion","0","-1072","0","-120","120","0","1","22","40","87","11","202","227","429","46","192.168.137.29","-56","145372",""
"2026-06-03T19:34:12.771Z","prueba_001","pista_linea_negra","287","centrado","1322","-178","-143","-53","200","90","0","0","379","180","6","38","1508","816","51","192.168.137.29","-60","145873",""
"2026-06-03T19:34:12.772Z","prueba_001","pista_linea_negra","288","centrado","1204","-296","236","200","-146","90","0","1","308","79","11","68","1237","413","45","192.168.137.29","-66","146374",""
"2026-06-03T19:34:12.772Z","prueba_001","pista_linea_negra","289","recuperacion","3000","500","0","120","-120","0","1","4","19","9","2","33","144","121","9","192.168.137.29","-56","146876",""
"2026-06-03T19:34:12.772Z","prueba_001","pista_linea_negra","290","recuperacion","0","-1096","0","-120","120","0","1","3","9","0","17","68","119","84","72","192.168.137.29","-57","147376",""
"2026-06-03T19:34:12.772Z","prueba_001","pista_linea_negra","291","recuperacion","0","-1500","0","-120","120","0","1","0","6","2","0","28","115","100","10","192.168.137.29","-53","147876",""
"2026-06-03T19:34:12.772Z","prueba_001","pista_linea_negra","292","recuperacion","0","-1500","0","-120","120","0","1","87","13","3","1","560","129","102","0","192.168.137.29","-53","148377",""
"2026-06-03T19:34:12.773Z","prueba_001","pista_linea_negra","293","desviado_izq","1000","-500","-50","40","140","90","0","14","318","8","1","75","1273","118","2","192.168.137.29","-59","148878",""
"2026-06-03T19:34:49.121Z","prueba_001","pista_linea_negra","367","centrado","1529","29","-1","109","111","110","0","47","717","806","8","126","2751","3274","21","192.168.137.29","-58","185942",""
"2026-06-03T19:34:49.622Z","prueba_001","pista_linea_negra","368","desviado_der","2097","597","191","200","-100","91","0","71","226","755","522","59","1072","3088","2165","192.168.137.29","-55","186443",""
"2026-06-03T19:34:50.125Z","prueba_001","pista_linea_negra","369","centrado","1425","-75","-115","-7","200","108","0","111","722","811","6","618","2769","3298","34","192.168.137.29","-56","186944",""
"2026-06-03T19:34:50.624Z","prueba_001","pista_linea_negra","370","desviado_der","1995","495","105","199","-11","94","0","5","533","844","525","49","2089","3439","2170","192.168.137.29","-67","187444",""
"2026-06-03T19:34:51.124Z","prueba_001","pista_linea_negra","371","desviado_der","2370","870","33","123","57","90","0","3","79","807","646","71","388","3279","2691","192.168.137.29","-68","187946",""
"2026-06-03T19:34:51.625Z","prueba_001","pista_linea_negra","372","centrado","1412","-88","-100","8","200","108","0","136","673","800","8","537","2589","3255","38","192.168.137.29","-51","188447",""
"2026-06-03T19:34:52.127Z","prueba_001","pista_linea_negra","373","centrado","1478","-22","-342","-200","200","110","0","55","722","817","25","235","2748","3303","107","192.168.137.29","-58","188948",""
"2026-06-03T19:34:52.630Z","prueba_001","pista_linea_negra","374","desviado_der","2415","915","77","167","13","90","0","16","21","773","549","175","173","3120","2231","192.168.137.29","-49","189449",""
"2026-06-03T19:34:53.129Z","prueba_001","pista_linea_negra","375","centrado","1532","32","-2","107","111","109","0","26","741","845","3","162","2863","3425","15","192.168.137.29","-54","189951",""
"2026-06-03T19:34:53.630Z","prueba_001","pista_linea_negra","376","desviado_der","2029","529","438","200","-200","93","0","5","497","832","552","68","1998","3365","2231","192.168.137.29","-52","190452",""
"2026-06-03T19:34:54.131Z","prueba_001","pista_linea_negra","377","desviado_der","2408","908","370","200","-200","90","0","6","9","769","531","75","140","3135","2195","192.168.137.29","-51","190953",""
"2026-06-03T19:34:54.633Z","prueba_001","pista_linea_negra","378","centrado","1829","329","-241","-141","200","100","0","97","591","865","445","494","2249","3504","1835","192.168.137.29","-47","191454",""
"2026-06-03T19:34:55.134Z","prueba_001","pista_linea_negra","379","desviado_der","2715","1215","360","200","-200","90","0","5","12","261","656","16","131","1185","2688","192.168.137.29","-55","191954",""
"2026-06-03T19:34:55.638Z","prueba_001","pista_linea_negra","380","centrado","1733","233","-269","-166","200","103","0","60","501","807","203","42","1971","3281","687","192.168.137.29","-61","192456",""
"2026-06-03T19:34:56.139Z","prueba_001","pista_linea_negra","381","desviado_der","2422","922","539","200","-200","90","0","5","11","761","557","48","125","3091","2276","192.168.137.29","-55","192957",""
"2026-06-03T19:34:56.650Z","prueba_001","pista_linea_negra","382","centrado","1142","-358","-592","-200","200","99","0","539","835","856","5","3955","3312","3436","26","192.168.137.29","-49","193462",""
"2026-06-03T19:34:57.143Z","prueba_001","pista_linea_negra","383","centrado","1581","81","45","153","63","108","0","0","612","849","23","51","2378","3442","73","192.168.137.29","-52","193962",""
"2026-06-03T19:34:57.644Z","prueba_001","pista_linea_negra","384","desviado_der","2452","952","1954","200","-200","90","0","33","13","768","635","147","144","3120","2559","192.168.137.29","-61","194463",""
"2026-06-03T19:34:58.147Z","prueba_001","pista_linea_negra","385","desviado_der","2182","682","235","200","-145","90","0","9","233","782","511","29","1051","3182","2127","192.168.137.29","-59","194964",""
"2026-06-03T19:34:58.650Z","prueba_001","pista_linea_negra","386","desviado_der","2513","1013","178","200","-88","90","0","23","17","596","628","171","143","2449","2544","192.168.137.29","-47","195466",""
"2026-06-03T19:34:59.151Z","prueba_001","pista_linea_negra","387","desviado_der","2296","796","-161","-71","200","90","0","67","10","754","536","318","122","3059","2266","192.168.137.29","-48","195967",""
"2026-06-03T19:34:59.650Z","prueba_001","pista_linea_negra","388","centrado","1395","-105","-309","-200","200","107","0","160","710","833","4","781","2730","3376","16","192.168.137.29","-52","196468",""
"2026-06-03T19:35:00.156Z","prueba_001","pista_linea_negra","389","desviado_izq","1038","-462","12","107","83","95","0","701","888","792","10","2891","3398","3187","21","192.168.137.29","-53","196969",""
"2026-06-03T19:35:00.654Z","prueba_001","pista_linea_negra","390","centrado","1266","-234","-450","-200","200","103","0","345","756","871","9","1038","2894","3538","50","192.168.137.29","-53","197471",""
"2026-06-03T19:35:01.155Z","prueba_001","pista_linea_negra","391","desviado_der","1994","494","360","200","-200","94","0","3","589","838","578","38","2271","3398","2321","192.168.137.29","-68","197972",""
"2026-06-03T19:35:01.655Z","prueba_001","pista_linea_negra","392","desviado_der","2820","1320","644","200","-200","90","0","0","5","102","465","48","104","536","1927","192.168.137.29","-58","198472",""
"2026-06-03T19:35:02.156Z","prueba_001","pista_linea_negra","393","desviado_izq","1067","-433","21","117","75","96","0","626","797","775","7","2459","3027","3129","14","192.168.137.29","-56","198973",""
"2026-06-03T19:35:02.748Z","prueba_001","pista_linea_negra","394","desviado_izq","966","-534","-1222","-200","200","93","0","965","868","873","43","3957","3282","3519","161","192.168.137.29","-49","199474",""
